Col_1,Col_2,Col_3,Col_4,Col_5,Col_6
1,3,-213.25,38.94,35,0.8
2,293,457.81,208.16,68.02,0.58
3,293,46.71,8.69,2.99,0.39
4,483,1198.97,195.99,3.99,0.58
5,515,30.94,21.78,5.94,0.5
6,515,4.43,6.64,4.95,0.37
7,613,-54.04,7.3,7.72,0.38
8,613,127.7,42.76,6.22,
9,643,-695.26,138.14,35,
10,678,-226.36,4.98,8.33,0.38
11,807,-166.85,4.28,6.18,0.4
12,807,-14.33,3.95,2,0.53
13,868,134.72,21.78,5.94,0.5
14,868,114.46,47.98,3.61,0.71
15,933,-4.72,5.28,2.99,0.37
16,995,782.91,39.89,3.04,0.53
17,998,93.8,15.74,1.39,0.4
18,1154,440.72,100.98,26.22,0.6
19,1154,-481.04,71.37,69,0.68
20,1344,-11.68,65.99,5.26,0.59
21,1344,313.58,155.99,8.99,0.58
22,1412,26.92,3.69,0.5,0.38
23,1412,-5.77,4.71,0.7,0.8
24,1539,-172.88,15.99,13.18,0.37
25,1539,-144.55,4.89,4.93,0.66
26,1540,5.76,2.88,0.7,0.56
27,1702,4.9,2.84,0.93,0.54
28,1761,-547.61,449.99,49,0.38
29,1792,-5.45,13.48,4.51,0.59
30,2275,41.67,6.08,1.17,0.56
31,2277,-46.03,5.98,4.38,0.75
32,2277,33.67,40.99,19.99,0.36
33,2532,140.01,7.31,0.49,0.38
34,2532,-78.96,20.99,2.5,0.81
35,2631,252.66,40.96,1.99,0.55
36,2757,-1766.01,95.95,74.35,0.57
37,2791,-236.27,3.89,7.01,0.37
38,2791,80.44,120.98,30,0.64
39,2791,118.94,30.98,5.76,0.4
40,2976,3424.22,500.98,26,0.6
41,3232,-11.83,7.84,4.71,0.35
42,3524,52.35,18.97,9.03,0.37
43,3908,-180.2,115.99,2.5,0.57
44,4132,1.32,2.88,0.5,0.36
45,4612,-375.64,4.48,49,0.6
46,4676,-104.25,125.99,7.69,0.58
47,4676,85.96,3.75,0.5,0.37
48,4676,-8.38,12.28,6.47,0.38
49,4676,1115.69,155.99,8.99,0.58
50,5284,-3.05,8.69,2.99,0.39
51,5316,514.07,31.78,1.99,0.42
52,5409,-7.04,3.98,2.97,0.35
53,5506,4.41,5.88,3.04,0.36
54,5569,-0.06,9.65,6.22,0.55
55,5607,-50.33,7.99,5.03,0.6
56,5894,87.68,58.1,1.49,0.38
57,5894,-68.22,80.48,4.5,0.55
58,5925,-354.9,92.23,39.61,0.67
59,5925,-267.01,85.99,0.99,0.85
60,6016,3.63,11.48,5.43,0.36
61,6116,-1759.58,1637.53,24.49,0.81
62,6182,-116.79,6.48,6.65,0.36
63,6182,-67.28,6.48,7.86,0.37
64,6535,-19.33,28.15,8.99,0.57
65,6884,-61.21,4.98,4.75,0.36
66,6884,119.09,6.35,1.02,0.39
67,6916,-141.27,10.9,7.46,0.59
68,6980,-77.28,7.3,7.72,0.38
69,6982,407.44,39.48,1.99,0.54
70,6982,-338.27,100.98,57.38,0.78
71,6982,52.56,19.98,10.49,0.49
72,7110,1902.24,276.2,24.49,0.56
73,7430,353.2,15.67,1.39,0.38
74,7906,271.78,25.98,5.37,0.5
75,8391,-268.36,300.98,64.73,0.56
76,8419,70.39,19.98,5.97,0.38
77,8419,-86.62,6.48,7.03,0.37
78,8833,-846.73,80.98,35,0.81
79,8995,8.05,1.88,1.49,0.37
80,8995,-78.02,6.48,5.86,0.36
81,8995,737.94,102.3,21.26,0.59
82,8995,-191.28,6.48,8.19,0.37
83,8995,-21.49,1.89,0.76,0.83
84,9126,884.08,62.05,3.99,0.55
85,9127,-329.49,279.48,35,0.8
86,9509,2825.15,320.98,58.95,0.57
87,9509,2.13,18.97,5.21,0.37
88,9509,707.15,48.91,5.81,0.38
89,9763,75.13,4.13,0.5,0.39
90,9927,-270.63,140.98,53.48,0.65
91,9927,3387.35,218.08,18.06,0.57
92,9927,-82.16,50.98,6.5,0.73
93,10022,-3.88,10.14,2.27,0.36
94,10437,-191.22,15.99,13.18,0.37
95,10499,31.21,262.11,62.74,0.75
96,10535,-44.14,33.98,19.99,0.55
97,10535,-0.79,1.76,0.7,0.56
98,10789,76.42,19.84,4.1,0.44
99,10791,93.36,19.98,5.77,0.38
100,10945,4.22,95.99,8.99,0.57
